"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-01-2026","Instagram","veintreatmentclinic","25,980","41","72","17","0","147","1,726,361","1,648","43","0%","18","4","7","","14","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","40","47","0","0","","","","","17","59",""
"01-02-2026","Instagram","veintreatmentclinic","26,041","61","86","271","2","183","1,717,323","2,544","33","0%","11","1","2","","17","","","","","","","","","","","","0","1","1","16","33","","","","","","","","","","","","","","","","","","","","","6","40","0","0","","","","","220","137",""
"01-03-2026","Instagram","veintreatmentclinic","26,097","56","89","67","1","167","1,652,655","2,374","35","0%","20","1","2","","12","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","6","34","0","0","","","","","66","127",""
"01-04-2026","Instagram","veintreatmentclinic","26,185","88","89","82","1","197","1,638,389","3,479","46","0%","22","0","2","","22","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","9","30","0","0","","","","","81","158",""
"01-05-2026","Instagram","veintreatmentclinic","26,262","77","77","269","1","152","1,573,443","3,728","48","0%","21","5","7","","15","","","","","","","","","","","","0","0","1","0","1","","","","","","","","","","","","","","","","","","","","","2","27","0","0","","","","","267","123",""
"01-06-2026","Instagram","veintreatmentclinic","26,326","64","68","385","0","161","1,558,599","2,807","68","0%","44","0","9","","15","","","","","","","","","","","","0","0","0","5","17","","","","","","","","","","","","","","","","","","","","","1","27","0","0","","","","","363","133",""
"01-07-2026","Instagram","veintreatmentclinic","26,383","57","71","178","1","151","1,359,332","3,010","52","0%","35","2","10","","5","","","","","","","","","","","","0","0","1","5","11","","","","","","","","","","","","","","","","","","","","","4","22","0","0","","","","","161","125",""
"01-08-2026","Instagram","veintreatmentclinic","26,429","46","47","170","0","111","1,252,097","3,043","60","0%","38","3","4","","15","","","","","","","","","","","","0","0","0","4","11","","","","","","","","","","","","","","","","","","","","","3","27","0","0","","","","","155","81",""
"01-09-2026","Instagram","veintreatmentclinic","26,462","33","47","77","1","51","693,821","2,348","21","0%","8","1","3","","9","","","","","","","","","","","","0","0","1","1","7","","","","","","","","","","","","","","","","","","","","","3","15","0","0","","","","","68","33",""
"01-10-2026","Instagram","veintreatmentclinic","26,495","33","48","7","1","19","526,014","1,723","22","0%","13","0","2","","7","","","","","","","","","","","","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","6","8","0","0","","","","","6","5",""
